route_code,stopcode,StopDescrE,StopLat,StopLng
4373,60593,IPPOKRATEIO,37.9835162,23.7587588
4373,60594,ATHINAION,37.9857757,23.7610069
4373,60598,AMPELOKHPOI,37.9877954,23.7629466
4373,60601,ZERBA,37.9893773,23.7646045
4373,60603,ERYTHROS STAYROS,37.9924188,23.7666903
4373,60604,GHROKOMEIO,37.9956938,23.7683769
4373,60605,KATEXAKH,37.9990617,23.770535
4373,690015,SKALAKIA,38.0022585,23.7738264
4373,690008,FAROS,38.0054339,23.7762627
4373,690017,PARITSH,38.0070034,23.7775786
4373,480049,AG. BARBARA,38.0107545,23.780975
4373,480143,ARSAKEIO,38.0123314,23.782473
4373,480050,ABANA,38.013848,23.7838242
4373,480051,KOLLEGIO,38.0152564,23.7851301
4373,480052,SERRON,38.0170529,23.7867198
4373,480053,SIDERA,38.0199228,23.7888534
4373,480086,YGEIA,38.0267698,23.7898269
4373,480087,ASTYNOMIA,38.0294692,23.7919682
4373,480088,OLYMPIAKO STADIO,38.0329362,23.7950302
4373,90158,AGORA,38.0352323,23.7972761
4373,90002,PARADEISOS,38.0376647,23.8000329
4373,90003,IOANNIDOY,38.0394852,23.8018569
4373,90052,XEIMARAS,38.0410827,23.8032202
4373,90004,OTE,38.0435018,23.8048893
4373,90006,HBH,38.0450447,23.8064804
4373,90007,KANATADIKA,38.0470385,23.8078406
4373,90008,DIASTAYROSH AMAROYSIOY,38.0509027,23.8099618
4373,90009,DIASTAYROSH MELISSION,38.0543544,23.8116877
